profile,cluster_id,cluster_label,top_tokens,posts_count,share,score,likes_lift,views_lift,action
kaskad,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",104,0.99,1.01,1.0,1.02,best
kaskad,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",104,0.99,1.01,1.0,1.02,dominant
kravira,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",117,0.818,0.109,0.12,0.1,best
kravira,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",117,0.818,0.109,0.12,0.1,dominant
kravira,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",117,0.818,0.109,0.12,0.1,reduce
lode.med,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",38,0.884,1.079,1.09,1.06,best
lode.med,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",38,0.884,1.079,1.09,1.06,dominant
mercimed.by,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",65,0.942,1.04,1.02,1.06,best
mercimed.by,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",65,0.942,1.04,1.02,1.06,dominant
nordin.medcentr,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",25,0.556,1.236,0.96,1.65,best
nordin.medcentr,5,,"нордин,проект,вехи,мечт,выпуск",10,0.222,0.656,1.09,0.01,best
nordin.medcentr,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",25,0.556,1.236,0.96,1.65,dominant
nordin.medcentr,1,Акции / скидки / услуги,"коротк,кальварийск,молодежн,каскад,кравир,кравира,мерс,онлайн",25,0.556,1.236,0.96,1.65,keep
