token_type,token,posts_count,profiles_count,likes_sum,likes_avg,views_sum,views_avg
hashtag,кравира,64,1,4077,63.7,68222,1795.32
hashtag,каскадвопросов,16,1,1266,79.12,89805,5612.81
hashtag,клиникамерси,8,1,810,101.25,18502,3083.67
hashtag,новоезрение,6,1,535,89.17,13277,2655.4
hashtag,офтальмологминск,5,1,392,78.4,8414,2103.5
hashtag,лазернаякоррекция,4,1,434,108.5,9866,3288.67
hashtag,неврологминск,4,1,197,49.25,3135,1045.0
hashtag,эндокринологминск,4,1,657,164.25,2436,1218.0
hashtag,гинекологминск,3,1,109,36.33,5872,1957.33
hashtag,диетологминск,3,1,632,210.67,1320,1320.0
hashtag,мерсиминск,3,1,216,72.0,5115,1705.0
hashtag,лазернаякоррекцияминск,2,1,209,104.5,1704,1704.0
hashtag,лечениекатаракты,2,1,101,50.5,3411,1705.5
hashtag,педиатрминск,2,1,123,61.5,1625,1625.0
hashtag,smasлифтинг,1,1,162,162.0,0,0
hashtag,ultraformer,1,1,162,162.0,0,0
hashtag,антицеллюлитныймассаж,1,1,1002,1002.0,0,0
hashtag,безоперации,1,1,113,113.0,5225,5225.0
hashtag,беларусь,1,1,499,499.0,8457,8457.0
hashtag,видетьчётко,1,1,143,143.0,4863,4863.0
hashtag,гинеколог,1,1,59,59.0,2511,2511.0
hashtag,деньмедика,1,1,162,162.0,574,574.0
hashtag,дневникпользователя,1,1,-1,-1.0,3439362,3439362.0
hashtag,доипосле,1,1,162,162.0,0,0
hashtag,естественнаякрасота,1,1,113,113.0,5225,5225.0
hashtag,живитеярче,1,1,-1,-1.0,3439362,3439362.0
hashtag,заботаоздоровье,1,1,-1,-1.0,3439362,3439362.0
hashtag,здоровьеженщины,1,1,659,659.0,0,0
hashtag,интересно,1,1,-1,-1.0,3439362,3439362.0
hashtag,инъекционноеомоложение,1,1,113,113.0,5225,5225.0
hashtag,искусствоследитьзасобой,1,1,-1,-1.0,3439362,3439362.0
hashtag,исправитьзрение,1,1,82,82.0,3299,3299.0
hashtag,катаракта,1,1,64,64.0,2391,2391.0
hashtag,катарактаминск,1,1,37,37.0,1020,1020.0
hashtag,коллагеностимуляция,1,1,113,113.0,5225,5225.0
hashtag,коррекциязренияминск,1,1,94,94.0,0,0
hashtag,лечебныймассаж,1,1,1002,1002.0,0,0
hashtag,лифтинглица,1,1,162,162.0,0,0
hashtag,лодэ,1,1,659,659.0,0,0
hashtag,любимаякоманда,1,1,162,162.0,574,574.0
hashtag,маммография,1,1,659,659.0,0,0
hashtag,массажвминске,1,1,1002,1002.0,0,0
hashtag,медицина,1,1,162,162.0,574,574.0
hashtag,минск,1,1,-1,-1.0,3439362,3439362.0
hashtag,минскмассаж,1,1,1002,1002.0,0,0
hashtag,молочнаяжелеза,1,1,499,499.0,8457,8457.0
hashtag,мояистория,1,1,-1,-1.0,3439362,3439362.0
hashtag,мужскоездоровье,1,1,70,70.0,1284,1284.0
hashtag,мцкравира,1,1,162,162.0,574,574.0
hashtag,нескончаемаямагиякаскада,1,1,189,189.0,39026,39026.0
hashtag,новаятехнология,1,1,-1,-1.0,3439362,3439362.0
hashtag,омоложение,1,1,162,162.0,0,0
hashtag,офтальмология,1,1,82,82.0,3299,3299.0
hashtag,офтольмологияминск,1,1,143,143.0,4863,4863.0
hashtag,пе,1,1,41,41.0,479,479.0
hashtag,полезно,1,1,-1,-1.0,3439362,3439362.0
hashtag,полимолочнаякислота,1,1,113,113.0,5225,5225.0
hashtag,праздник,1,1,162,162.0,574,574.0
hashtag,рак,1,1,499,499.0,8457,8457.0
hashtag,ранняядиагностика,1,1,659,659.0,0,0
hashtag,самообследование,1,1,499,499.0,8457,8457.0
hashtag,совместноисследуеммир,1,1,-1,-1.0,3439362,3439362.0
hashtag,терапевтминск,1,1,117,117.0,2538,2538.0
hashtag,упругаякожа,1,1,113,113.0,5225,5225.0
hashtag,услугимассажа,1,1,1002,1002.0,0,0
hashtag,флебологминск,1,1,130,130.0,1998,1998.0
hashtag,эксперимент,1,1,-1,-1.0,3439362,3439362.0
hashtag,ясныйвзгляд,1,1,143,143.0,4863,4863.0
word,можно,111,5,19080,171.89,1623173,21642.31
word,записаться,103,5,17076,165.79,1287513,18133.99
word,врач,95,5,12120,127.58,426516,8530.32
word,номер,91,4,18876,207.43,401191,17443.09
word,клиники,83,2,17772,214.12,1031589,27147.08
word,здоровье,81,5,13110,161.85,429430,7952.41
word,кальварийская,78,1,17948,230.1,390900,19545.0
word,каскад,78,1,13646,174.95,409132,15153.04
word,короткий,78,2,16987,217.78,390900,19545.0
word,молодежная,78,1,17948,230.1,390900,19545.0
word,если,75,5,7817,104.23,3801111,84469.13
word,кравира,75,1,4982,66.43,82599,1795.63
