profile,month,category_id,category_title,posts_count,likes_avg,views_avg,likes_lift,views_lift
kaskad,2025-01,appointments,Запись / приём / врачи,7,336.29,20101.0,1.05,1.05
kaskad,2025-01,promo,Акции / скидки / услуги,1,215.0,16383.0,0.67,0.85
kaskad,2025-02,appointments,Запись / приём / врачи,5,236.0,40293.5,1.41,2.37
kaskad,2025-03,appointments,Запись / приём / врачи,5,308.6,42482.0,1.0,1.0
kaskad,2025-04,appointments,Запись / приём / врачи,6,89.83,10714.0,1.12,1.0
kaskad,2025-05,appointments,Запись / приём / врачи,6,65.33,272.0,0.5,0.65
kaskad,2025-05,lab,Анализы / лаборатория,1,260.0,0,2.01,0.0
kaskad,2025-05,promo,Акции / скидки / услуги,1,440.0,0,3.4,0.0
kaskad,2025-05,women,Женское здоровье / гинекология,1,74.0,1142.0,0.57,2.74
kaskad,2025-06,promo,Акции / скидки / услуги,1,2452.0,0,4.34,0.0
kaskad,2025-06,appointments,Запись / приём / врачи,11,288.82,477.5,0.51,1.0
kaskad,2025-06,kids,Дети / педиатрия,1,1714.0,0,3.03,0.0
kaskad,2025-07,appointments,Запись / приём / врачи,6,192.17,18045.5,1.03,0.8
kaskad,2025-07,education,Просвещение / советы,1,158.0,31210.0,0.84,1.39
kaskad,2025-08,appointments,Запись / приём / врачи,7,258.86,7133.33,1.0,1.0
kaskad,2025-09,appointments,Запись / приём / врачи,6,53.17,16291.33,1.0,1.0
kaskad,2025-10,appointments,Запись / приём / врачи,8,143.62,12849.0,0.86,1.0
kaskad,2025-10,promo,Акции / скидки / услуги,2,259.0,0,1.55,0.0
kaskad,2025-11,promo,Акции / скидки / услуги,1,51.0,918.0,0.99,0.1
kaskad,2025-11,appointments,Запись / приём / врачи,9,51.33,17361.0,1.0,1.9
kaskad,2025-12,appointments,Запись / приём / врачи,7,275.71,28955.33,1.24,1.16
kaskad,2025-12,promo,Акции / скидки / услуги,1,82.0,0,0.37,0.0
kaskad,2026-01,appointments,Запись / приём / врачи,3,33.67,461.0,1.0,1.0
kravira,2025-01,appointments,Запись / приём / врачи,6,82.5,2572.5,1.34,1.12
kravira,2025-01,education,Просвещение / советы,2,41.5,1455.5,0.67,0.63
kravira,2025-02,kids,Дети / педиатрия,2,91.5,1564.0,1.22,0.65
kravira,2025-02,appointments,Запись / приём / врачи,4,47.75,1715.0,0.64,0.71
kravira,2025-02,women,Женское здоровье / гинекология,2,72.5,3439.0,0.97,1.42
kravira,2025-03,appointments,Запись / приём / врачи,12,60.75,2340.25,0.01,0.01
kravira,2025-03,women,Женское здоровье / гинекология,1,56.0,3158.0,0.01,0.02
kravira,2025-04,appointments,Запись / приём / врачи,9,71.22,2178.0,1.01,0.89
kravira,2025-05,appointments,Запись / приём / врачи,9,64.56,739.33,1.01,1.08
kravira,2025-05,education,Просвещение / советы,1,33.0,0,0.52,0.0
kravira,2025-05,women,Женское здоровье / гинекология,1,86.0,336.0,1.34,0.49
kravira,2025-06,appointments,Запись / приём / врачи,9,67.67,784.0,0.99,1.12
kravira,2025-06,lab,Анализы / лаборатория,1,26.0,0,0.38,0.0
kravira,2025-07,appointments,Запись / приём / врачи,10,49.5,1759.17,1.02,1.0
kravira,2025-08,appointments,Запись / приём / врачи,7,91.71,2809.67,1.18,1.1
kravira,2025-08,women,Женское здоровье / гинекология,1,33.0,1779.0,0.43,0.7
kravira,2025-09,appointments,Запись / приём / врачи,4,88.5,2406.67,1.18,1.14
kravira,2025-10,appointments,Запись / приём / врачи,1,508.0,9227.0,4.76,2.95
kravira,2025-10,education,Просвещение / советы,1,46.0,1627.0,0.43,0.52
kravira,2025-11,appointments,Запись / приём / врачи,3,45.67,1820.0,0.71,0.87
kravira,2025-11,lab,Анализы / лаборатория,1,55.0,2102.0,0.86,1.01
kravira,2025-12,promo,Акции / скидки / услуги,1,83.0,3777.0,0.74,1.7
kravira,2025-12,appointments,Запись / приём / врачи,7,119.86,1912.8,1.06,0.86
kravira,2026-01,appointments,Запись / приём / врачи,5,31.0,1168.25,1.12,1.03
kravira,2026-01,promo,Акции / скидки / услуги,1,16.0,0,0.58,0.0
